EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PLOUMANAC'H (STAID: 11245).
Blended and updated with sources: 175637 907117 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175637,19990516,   94,    0
175637,19990517,  159,    0
175637,19990518,   65,    0
175637,19990519,   46,    0
175637,19990520,   55,    0
175637,19990521,   86,    0
175637,19990522,   62,    0
175637,19990523,   46,    0
175637,19990524,   36,    0
175637,19990525,   32,    0
175637,19990526,   39,    0
175637,19990527,   46,    0
175637,19990528,   39,    0
175637,19990529,   44,    0
175637,19990530,   35,    0
175637,19990531,   40,    0
175637,19990601,   48,    0
175637,19990602,   64,    0
175637,19990603,   69,    0
175637,19990604,   75,    0
175637,19990605,   71,    0
175637,19990606,   61,    0
175637,19990607,   48,    0
175637,19990608,   50,    0
175637,19990609,   44,    0
175637,19990610,   31,    0
175637,19990611,   35,    0
175637,19990612,   25,    0
175637,19990613,   40,    0
175637,19990614,   30,    0
175637,19990615,   32,    0
175637,19990616,   31,    0
175637,19990617,   34,    0
175637,19990618,   28,    0
175637,19990619,   44,    0
175637,19990620,   65,    0
175637,19990621,   64,    0
175637,19990622,   30,    0
175637,19990623,   31,    0
175637,19990624,   46,    0
175637,19990625,   45,    0
175637,19990626,   56,    0
175637,19990627,   66,    0
175637,19990628,   65,    0
175637,19990629,   66,    0
175637,19990630,   45,    0
175637,19990701,   41,    0
175637,19990702,   41,    0
175637,19990703,   55,    0
175637,19990704,   26,    0
175637,19990705,   21,    0
175637,19990706,   45,    0
175637,19990707,   42,    0
175637,19990708,   20,    0
175637,19990709,   32,    0
175637,19990710,   36,    0
175637,19990711,   45,    0
175637,19990712,   35,    0
175637,19990713,   52,    0
175637,19990714,   70,    0
175637,19990715,   46,    0
175637,19990716,   26,    0
175637,19990717,   28,    0
175637,19990718,   18,    0
175637,19990719,   50,    0
175637,19990720,   69,    0
175637,19990721,   65,    0
175637,19990722,   61,    0
175637,19990723,   32,    0
175637,19990724,   32,    0
175637,19990725,   29,    0
175637,19990726,   74,    0
175637,19990727,   86,    0
175637,19990728,   64,    0
175637,19990729,   41,    0
