EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19221230,   97,    0
175646,19221231,   94,    0
175646,19230101,-9999,    9
175646,19230102,-9999,    9
175646,19230103,-9999,    9
175646,19230104,-9999,    9
175646,19230105,-9999,    9
175646,19230106,-9999,    9
175646,19230107,-9999,    9
175646,19230108,-9999,    9
175646,19230109,-9999,    9
175646,19230110,-9999,    9
175646,19230111,-9999,    9
175646,19230112,-9999,    9
175646,19230113,-9999,    9
175646,19230114,-9999,    9
175646,19230115,-9999,    9
175646,19230116,-9999,    9
175646,19230117,-9999,    9
175646,19230118,-9999,    9
175646,19230119,-9999,    9
175646,19230120,-9999,    9
175646,19230121,-9999,    9
175646,19230122,-9999,    9
175646,19230123,-9999,    9
175646,19230124,-9999,    9
175646,19230125,-9999,    9
175646,19230126,-9999,    9
175646,19230127,-9999,    9
175646,19230128,-9999,    9
175646,19230129,-9999,    9
175646,19230130,-9999,    9
175646,19230131,-9999,    9
175646,19230201,-9999,    9
175646,19230202,-9999,    9
175646,19230203,-9999,    9
175646,19230204,-9999,    9
175646,19230205,-9999,    9
175646,19230206,-9999,    9
175646,19230207,-9999,    9
175646,19230208,-9999,    9
175646,19230209,-9999,    9
175646,19230210,-9999,    9
175646,19230211,-9999,    9
175646,19230212,-9999,    9
175646,19230213,-9999,    9
175646,19230214,-9999,    9
175646,19230215,-9999,    9
175646,19230216,-9999,    9
175646,19230217,-9999,    9
175646,19230218,-9999,    9
175646,19230219,-9999,    9
175646,19230220,-9999,    9
175646,19230221,-9999,    9
175646,19230222,-9999,    9
175646,19230223,-9999,    9
175646,19230224,-9999,    9
